ID,Age,Experience,Income,ZIPCode,Family,CCAvg,Education,Mortgage,PersonalLoan,SecuritiesAccount,CDAccount,Online,CreditCard
47,39,14,3182000,95014,3,51800,2,11322000,0,0,0,1,0
48,37,12,14356000,91380,4,14800,3,15614000,1,1,1,1,1
49,56,26,5994000,95747,2,333000,3,0,0,0,0,0,1
50,40,16,3626000,92373,1,133200,1,0,0,0,0,0,1
51,32,8,592000,92093,4,51800,2,0,0,1,0,1,0
52,61,37,9694000,94720,1,214600,1,0,0,0,0,1,0
53,30,6,5328000,94005,1,7400,1,15318000,0,0,0,0,0
54,50,26,14060000,90245,3,155400,3,17760000,1,0,0,1,0
55,29,5,3256000,95819,1,14800,3,0,0,0,0,1,0
56,41,17,10286000,94022,2,592000,1,0,0,0,0,1,0
57,55,30,2146000,94005,3,7400,2,0,0,1,1,1,0
58,56,31,9694000,95616,2,88800,3,0,1,0,0,0,0
59,28,2,6882000,94065,2,14800,1,0,0,0,0,0,0
60,31,5,13912000,91320,2,333000,1,33670000,0,0,0,0,0
61,49,24,2886000,90404,3,125800,2,0,0,1,0,1,0
62,47,21,9250000,93407,1,421800,1,8288000,0,1,0,0,0
63,42,18,1628000,90089,1,74000,1,0,0,0,0,0,0
64,42,17,2368000,94523,4,0,2,0,0,0,0,1,0
65,47,23,7770000,90024,2,244200,1,0,0,0,0,0,0
66,59,35,9694000,91360,1,281200,1,0,0,0,0,1,1
67,62,36,7770000,95670,2,207200,1,24864000,0,0,0,0,0
68,53,23,3330000,95123,4,148000,3,9768000,0,1,0,0,0
69,47,21,4440000,93407,3,155400,1,0,0,0,0,1,1
70,53,29,1480000,90045,4,14800,1,0,0,0,0,1,0
71,42,18,8510000,91335,1,259000,1,0,0,0,0,0,1
72,53,29,5106000,93907,4,74000,2,0,0,0,0,1,0
73,44,20,9620000,92007,1,370000,1,0,0,0,0,0,1
74,41,16,6290000,94606,1,296000,3,0,0,0,0,1,1
75,28,3,9990000,94611,2,244200,1,0,0,0,0,0,1
76,31,7,9990000,94901,4,281200,2,0,1,0,1,1,1
77,58,32,888000,91320,3,22200,3,0,0,0,0,0,0
78,46,20,2146000,92220,3,37000,2,0,0,0,0,0,0
79,54,30,9842000,93305,2,192400,3,0,1,0,0,0,0
80,50,26,1406000,94720,2,29600,1,8732000,0,0,0,1,0
81,60,36,3034000,95134,4,96200,1,12876000,0,0,0,1,1
82,47,22,2960000,94612,3,199800,2,0,0,0,0,1,0
83,41,16,6068000,92507,1,296000,3,0,0,0,0,1,0
84,33,9,3700000,94305,1,177600,2,0,0,0,0,0,0
85,46,22,1332000,91730,1,66600,3,0,0,0,0,1,0
86,27,2,8066000,94005,4,133200,3,0,0,0,0,0,0
87,40,16,3108000,94501,4,162800,2,9324000,0,0,0,0,0
88,48,22,5772000,94305,3,81400,1,0,0,0,0,1,0
89,65,41,3774000,94117,2,81400,1,0,0,0,0,1,0
90,25,-1,8362000,94303,4,170200,3,0,0,0,0,0,1
91,55,30,8732000,90277,4,414400,2,0,1,0,0,1,0
92,35,10,2146000,94105,4,81400,3,0,0,0,0,1,0
93,43,19,2516000,94305,3,44400,2,0,0,0,0,0,0
94,60,34,4736000,94550,2,125800,3,17464000,0,1,0,1,0
95,65,39,8954000,92612,1,148000,1,0,0,0,0,0,0
96,38,12,3552000,95617,4,14800,3,0,0,0,0,1,0
97,41,15,5920000,95014,1,384800,1,0,0,0,0,0,0
98,54,28,11914000,92121,1,214600,1,0,0,0,0,1,0
99,49,23,6956000,92374,1,22200,1,0,0,0,0,1,0
100,66,41,1110000,91711,3,7400,3,0,0,0,0,1,0
101,48,23,5476000,94080,1,88800,1,0,0,0,0,1,0
102,61,36,2220000,94608,3,96200,2,0,0,0,0,0,0
103,53,23,3256000,93555,3,74000,3,14652000,0,0,0,1,1
104,43,18,1628000,95670,2,22200,2,0,0,0,0,1,0
105,56,32,2812000,93311,4,96200,1,12284000,0,0,0,1,1
106,24,0,2590000,94704,3,7400,2,0,0,1,0,1,0
107,43,17,5106000,92717,4,214600,1,0,0,0,0,1,1
108,42,18,3182000,92037,1,51800,1,10064000,0,0,0,0,0
109,33,7,2368000,95136,1,44400,3,12284000,0,0,0,1,0
110,43,17,3626000,94542,1,207200,1,0,0,0,0,1,0
111,41,14,666000,91330,3,74000,2,0,0,0,0,0,0
112,62,38,3330000,94143,4,96200,2,0,0,0,0,1,0
113,40,15,6068000,91775,3,74000,1,22866000,0,0,0,0,0
114,58,34,6808000,92703,2,207200,1,7622000,0,0,0,0,0
115,39,14,2886000,92354,3,37000,3,0,0,0,0,1,0
116,65,40,5994000,92024,3,133200,2,0,0,0,0,1,0
117,54,29,2590000,92831,1,111000,2,0,0,0,0,1,0
118,58,33,4514000,92833,2,170200,3,14282000,0,0,0,1,0
119,41,16,5402000,92647,3,222000,1,0,0,0,0,1,0
120,32,7,8288000,94304,1,340400,1,27084000,0,0,0,0,0
121,54,29,888000,90057,2,14800,3,0,0,0,0,1,0
122,52,26,2812000,91711,3,66600,3,0,0,0,0,1,0
123,58,32,5402000,94523,2,51800,2,0,0,0,0,1,1
124,37,13,6216000,92130,1,266400,2,0,0,1,0,0,0
125,39,15,5772000,92121,4,177600,1,8732000,0,0,0,1,0
126,60,35,5920000,91301,3,37000,1,0,0,0,0,1,0
127,31,5,8510000,92096,2,96200,1,7474000,0,0,0,1,1
128,34,8,6068000,92646,1,199800,2,18574000,0,0,0,1,0
129,38,14,5476000,92182,2,0,1,0,0,1,0,1,0
130,41,16,5180000,92131,3,37000,3,0,0,0,0,0,1
131,28,4,5994000,94801,3,111000,1,20424000,0,0,0,1,0
132,58,34,11026000,93720,4,532800,2,0,1,0,1,1,1
133,31,1,3774000,90840,2,129500,3,0,0,0,0,0,0
134,30,4,2886000,90245,3,81400,2,0,0,0,0,1,0
135,53,29,7252000,95035,3,133200,2,0,0,0,0,0,0
136,58,33,3330000,93010,4,155400,1,0,0,0,0,1,1
137,59,32,3626000,95035,4,185000,2,0,0,0,0,1,0
138,49,25,9472000,95054,2,29600,1,0,0,0,0,0,0
139,59,34,3108000,94928,3,111000,1,0,0,1,1,0,1
140,59,35,1332000,93305,1,88800,3,0,0,0,0,1,0
141,51,25,2294000,90245,2,29600,3,11914000,0,0,0,1,1
142,35,11,4292000,95831,3,148000,1,11026000,0,0,0,1,1
143,33,9,3552000,91770,1,155400,3,0,0,0,0,0,1
144,25,1,3996000,94117,4,118400,1,0,0,0,0,1,1
145,49,23,5180000,92093,2,111000,2,0,0,0,0,0,0
146,59,35,9176000,90007,1,547600,1,0,0,0,0,0,1
147,46,19,6216000,94102,1,197580,2,0,0,0,0,1,1
148,50,25,6142000,94542,4,266400,3,13912000,0,0,0,1,0
149,52,28,12062000,91423,2,29600,1,8584000,0,0,0,1,0
150,48,22,3108000,93955,3,162800,2,0,0,0,0,0,0
151,46,22,8732000,94107,2,555000,1,0,0,0,1,1,1
152,26,0,9768000,92834,3,481000,3,0,1,0,0,0,1
153,57,32,1776000,93117,1,96200,1,0,0,0,0,1,1
154,60,36,1628000,94551,2,74000,1,0,0,1,1,1,1
155,54,29,4292000,92612,4,96200,3,0,0,0,0,0,0
156,24,0,4440000,94596,4,118400,1,0,0,0,0,1,0
157,26,0,1110000,92131,4,29600,1,0,0,0,0,0,1
158,41,17,6142000,94025,4,197580,1,0,0,0,0,1,1
159,32,6,5846000,94720,2,111000,3,0,0,0,0,1,1
160,61,35,3034000,94545,4,125800,2,0,0,1,0,1,0
161,29,0,9916000,95819,4,481000,3,0,1,0,0,0,0
162,61,35,5920000,95053,2,207200,1,0,0,0,0,1,0
163,38,12,3848000,90036,1,148000,1,0,0,0,0,0,0
164,28,4,5180000,91125,4,192400,1,0,0,0,0,1,0
165,53,27,6808000,95120,2,81400,1,0,0,1,0,0,0
166,27,1,3182000,94706,1,111000,1,0,0,0,0,1,0
167,25,1,1554000,95827,3,74000,2,0,0,0,0,0,0
168,33,9,1702000,94305,3,66600,3,0,0,0,0,1,1
169,50,26,962000,91320,4,74000,1,0,0,0,0,1,0
170,27,1,8288000,90503,4,155400,3,0,0,0,0,0,1
171,27,1,10212000,90250,2,148000,1,0,0,0,0,1,0
172,52,28,814000,95817,3,29600,1,0,0,1,0,0,0
173,38,13,12654000,92717,2,577200,1,0,0,0,0,1,0
174,58,34,3108000,90095,4,111000,1,0,0,0,0,1,1
175,42,17,12432000,95503,2,584600,2,0,1,0,0,1,0
176,45,20,6290000,91711,4,81400,2,0,0,1,0,1,0
177,52,25,3256000,93111,3,74000,2,9990000,0,0,0,1,0
178,29,3,4810000,94132,4,133200,2,18056000,0,0,0,0,0
179,53,29,1776000,95818,4,14800,1,0,0,0,0,1,1
180,62,37,814000,91942,1,7400,1,0,0,0,0,1,0
181,51,27,2812000,90401,2,74000,3,12136000,0,0,0,1,0
182,36,12,740000,93524,4,51800,2,5994000,0,0,0,0,0
183,24,0,9990000,95133,1,111000,1,0,0,0,0,1,0
184,29,3,10952000,92173,3,303400,1,0,1,0,0,1,0
185,52,26,4662000,92717,2,111000,2,0,0,1,0,1,0
186,39,14,8510000,91320,1,74000,3,0,0,0,0,1,0
187,48,23,3330000,95616,1,22200,1,0,0,0,0,1,1
188,46,21,11766000,94305,3,140600,3,23310000,1,0,0,1,0
189,64,40,12506000,91320,2,155400,1,9028000,0,0,0,1,0
190,55,29,8288000,94043,2,103600,1,0,0,0,0,1,0
191,60,36,6882000,92521,1,318200,1,0,0,0,0,1,0
192,51,25,2146000,90404,1,22200,3,10360000,0,0,0,0,0
193,50,23,6290000,92122,1,197580,2,0,0,0,0,1,0
194,48,24,1554000,93118,4,44400,1,0,0,0,0,1,1
195,53,29,10656000,92697,2,503200,1,0,0,0,0,1,0
196,34,10,962000,94577,4,74000,1,7030000,0,1,0,1,0
197,48,24,12210000,93407,1,370000,1,0,0,0,0,0,1
198,55,31,666000,91345,4,51800,1,6586000,0,0,0,1,0
199,27,3,4366000,94123,4,0,1,6660000,0,1,0,1,0
200,36,11,11692000,92152,1,377400,3,0,1,0,1,1,1
201,32,6,2146000,91355,1,140600,3,0,0,0,0,1,1
202,35,9,1480000,94609,2,103600,3,0,0,0,0,1,1
203,30,3,5032000,94306,4,148000,2,0,0,0,0,1,0
204,58,34,4810000,95747,4,162800,1,0,0,0,0,1,0
205,56,31,4514000,96150,2,140600,2,7770000,0,0,0,0,0
206,38,12,6734000,95616,4,103600,2,7400000,0,0,0,0,1
207,49,25,2294000,91355,1,74000,1,0,0,1,0,1,0
208,34,10,5254000,94115,4,7400,2,0,0,0,0,0,0
209,40,16,5402000,94110,4,197580,1,0,0,0,0,1,1
210,64,39,12728000,94707,4,229400,1,20868000,1,0,1,1,1
211,51,26,1480000,92131,2,0,1,0,0,0,0,0,0
212,44,18,4070000,94720,1,14800,1,0,0,0,0,0,0
213,46,22,5106000,91604,2,125800,1,15466000,0,0,0,0,0
214,57,33,11470000,91326,1,547600,1,0,0,0,0,1,0
215,54,28,6956000,90291,1,140600,2,0,0,0,0,0,0
216,38,14,6808000,95818,2,0,1,18426000,0,0,0,1,1
217,27,3,9250000,95521,2,44400,1,0,0,0,0,0,0
218,39,14,5476000,94305,3,222000,1,0,0,0,0,0,0
219,44,20,5328000,92807,3,22200,3,0,0,0,0,1,0
220,56,30,4514000,94707,1,162800,3,0,0,0,0,1,1
221,32,6,1850000,92130,2,22200,1,0,0,0,0,0,1
222,45,19,6142000,95051,2,125800,2,0,0,0,0,1,0
223,26,2,7696000,94306,3,185000,1,0,0,0,0,0,0
224,55,25,3034000,95014,3,74000,3,0,0,0,0,1,0
225,52,27,4292000,94305,4,133200,3,6734000,0,0,0,0,0
226,39,13,6882000,94720,1,111000,3,0,0,0,0,0,1
227,24,-1,2886000,94085,2,125800,2,0,0,0,0,0,0
228,47,23,10952000,94551,2,555000,1,0,0,0,1,1,1
229,47,22,3922000,92677,4,140600,3,7252000,0,1,1,0,1
230,48,24,5254000,93117,2,125800,1,10730000,0,0,0,0,1
231,47,22,6808000,94720,1,207200,2,0,0,0,0,1,0
232,35,10,4514000,94304,4,155400,3,0,0,0,0,1,0
233,46,19,2812000,94122,3,185000,2,9990000,0,0,0,0,0
234,62,37,4292000,91320,4,125800,1,0,0,0,0,1,0
235,26,1,5920000,95616,1,59200,2,11100000,0,0,0,0,0
236,38,8,5254000,94720,4,133200,3,0,0,0,0,1,0
237,43,18,6586000,93407,3,37000,3,0,0,0,0,1,1
238,62,38,6142000,92521,1,133200,3,0,0,0,0,1,0
239,57,32,2072000,95831,3,14800,1,0,0,0,0,1,1
240,28,3,3848000,94112,4,125800,2,0,0,0,0,0,0
241,51,26,5180000,90089,1,88800,1,12506000,0,0,0,0,0
242,48,22,5254000,91711,1,103600,3,0,0,0,0,0,1
243,41,16,5550000,94005,1,273800,3,20720000,0,0,0,0,0
244,65,39,12580000,90095,3,584600,3,7326000,1,0,1,1,0
245,41,17,5772000,94025,4,59200,1,5772000,0,0,0,1,0
246,35,11,1850000,92614,2,74000,2,0,0,0,0,0,0
247,38,14,4440000,94025,2,44400,3,0,0,0,0,1,1
248,53,29,8880000,92626,4,199800,2,8214000,1,1,1,1,0
249,55,29,7326000,92121,2,103600,1,19536000,0,0,0,1,1
250,26,1,4070000,90089,3,192400,3,8362000,0,0,0,0,1
251,30,6,2146000,94305,3,74000,2,8658000,0,0,0,0,0
252,54,28,12580000,92182,2,458800,2,24050000,1,0,0,1,0
253,65,40,3922000,91711,3,162800,1,0,0,0,0,0,1
254,47,21,10212000,94583,1,0,1,0,0,0,0,0,0
255,65,41,9916000,91942,3,288600,3,8954000,1,0,0,1,0
256,66,40,3108000,92103,2,51800,3,10212000,0,0,0,0,1
257,26,0,7326000,92697,4,170200,3,0,0,0,0,0,1
258,66,41,1332000,92691,3,37000,1,0,0,0,0,0,1
259,35,9,1776000,95747,4,22200,1,0,0,0,0,1,0
260,56,30,4070000,94107,1,103600,1,5698000,0,0,0,1,0
261,51,27,4292000,92407,1,0,1,0,0,0,0,0,1
262,42,16,8214000,93106,2,88800,3,18574000,1,0,0,1,0
263,49,23,2442000,90245,1,22200,3,0,0,0,1,1,1
264,27,1,5476000,92121,4,133200,2,8288000,0,0,0,1,1
265,45,19,2812000,90840,2,51800,1,0,0,0,0,0,0
266,49,23,1702000,94305,4,44400,3,7252000,0,1,0,0,0
267,63,38,4514000,94720,2,111000,1,0,0,0,0,1,0
268,47,22,5994000,90504,1,214600,1,10212000,0,0,0,0,0
269,64,39,9546000,94002,1,185000,1,0,0,0,0,1,0
270,43,13,2442000,95039,1,55500,3,0,0,0,0,0,0
271,60,36,4662000,94063,4,162800,1,0,0,0,0,1,0
272,40,14,5180000,94923,4,103600,2,0,0,0,0,1,0
273,29,3,3330000,95023,4,14800,1,11692000,0,0,0,1,1
274,41,16,4810000,90095,3,37000,3,0,0,0,0,1,0
275,30,5,5476000,95616,4,162800,1,0,0,1,0,0,1
276,49,24,3700000,94706,4,133200,3,0,0,1,0,0,0
277,30,5,1628000,90058,4,37000,3,8066000,0,0,0,1,0
278,29,2,2220000,92126,4,74000,3,0,0,0,0,0,0
279,50,26,1554000,91125,4,74000,1,0,0,0,0,1,0
280,39,14,11470000,94577,2,288600,1,0,0,0,0,1,0
281,33,8,4736000,92121,4,155400,3,12136000,0,0,0,1,0
282,57,31,4810000,94118,4,192400,3,0,0,0,0,0,1
283,34,9,5254000,91711,4,51800,3,0,0,0,0,1,0
284,61,36,2960000,90029,3,37000,2,0,0,1,0,1,0
285,44,19,5106000,92806,3,37000,3,0,0,0,0,1,0
286,40,13,5106000,94305,3,172420,2,0,0,0,0,0,0
287,51,25,3330000,94806,3,44400,2,9694000,0,0,0,1,0
288,37,12,4588000,92110,3,51800,2,0,0,0,0,0,1
289,44,19,12728000,94306,2,318200,3,28934000,1,1,1,1,0
290,42,15,1776000,92121,3,74000,2,0,0,0,0,1,1
291,51,25,5920000,92373,1,362600,1,0,0,0,0,0,0
292,43,16,592000,90089,3,49580,2,6512000,0,0,0,1,0
293,30,5,2812000,94542,4,59200,1,9546000,0,0,0,1,1
294,45,19,6882000,90095,4,192400,3,0,0,0,0,0,0
295,35,9,4070000,94536,1,148000,1,0,0,0,0,1,0
296,60,34,4736000,94304,2,125800,3,0,0,0,0,0,1
297,34,9,9028000,90623,1,0,1,0,0,0,0,1,0
298,55,25,5180000,93720,3,103600,3,0,0,0,0,1,0
299,43,19,5994000,92069,2,236800,1,0,0,0,0,0,0
300,41,15,11766000,90057,1,407000,3,0,1,0,1,1,0
301,34,9,5180000,92843,4,96200,1,0,0,1,0,0,0
302,65,39,11100000,92120,2,510600,1,14504000,0,0,0,0,0
303,45,21,11248000,94550,2,555000,1,0,0,0,0,1,0
304,49,25,14430000,95605,4,222000,1,45658000,1,0,0,0,0
305,48,23,1628000,90740,1,7400,1,0,0,0,0,0,0
306,60,35,1628000,91207,1,96200,1,9102000,0,0,0,1,0
307,55,29,5846000,92373,3,59200,1,0,0,0,0,1,1
308,42,18,2442000,90401,1,103600,3,0,0,0,0,1,0
309,32,8,9472000,94720,2,320420,1,0,0,0,1,1,1
310,62,38,6734000,95929,1,281200,1,0,0,1,0,1,0
311,57,32,2886000,90277,4,66600,1,0,0,0,0,1,1
312,52,26,8954000,94550,1,540200,1,12358000,0,0,0,1,0
313,36,6,1554000,91741,1,49580,3,0,0,1,0,1,0
314,34,9,3034000,93720,3,170200,1,0,0,0,0,0,1
315,63,37,3330000,93437,2,51800,3,0,0,0,0,1,0
316,24,-2,3774000,90630,3,22200,3,0,0,0,0,1,0
317,57,31,12210000,95054,1,118400,2,0,1,0,0,1,0
318,40,16,8806000,91335,2,310800,2,0,1,0,0,1,0
319,27,2,8140000,95670,4,133200,3,14060000,0,0,0,1,0
320,65,39,1480000,90034,3,51800,2,0,0,0,0,0,1
321,60,34,4736000,90266,1,59200,2,18352000,0,0,0,0,0
322,44,20,7474000,92717,3,325600,2,6068000,1,0,0,0,0
323,63,39,7474000,92007,1,288600,1,0,1,1,1,1,0
324,59,34,7326000,90034,1,325600,1,0,1,0,0,0,0
325,56,30,11692000,90089,4,451400,1,0,1,0,0,0,0
326,54,28,6586000,95039,1,140600,2,0,0,0,0,1,1
327,52,27,5920000,95616,1,96200,3,0,0,0,1,1,1
328,58,32,8436000,91330,2,148000,1,29748000,0,0,0,1,0
329,60,35,3626000,94110,3,37000,2,0,0,0,0,1,1
330,28,4,14134000,90064,1,468420,1,0,0,0,0,1,0
331,54,30,5772000,92374,4,74000,2,0,0,0,0,1,0
332,32,6,2072000,94115,3,74000,1,0,0,0,0,0,0
333,59,33,3108000,95630,1,59200,2,0,0,0,0,1,0
334,63,38,10360000,92407,1,185000,1,0,0,0,0,0,0
335,48,23,3330000,95053,1,96200,2,0,0,0,0,1,0
336,56,32,9028000,95827,2,22200,1,26640000,0,0,1,1,1
337,36,12,4810000,95051,3,192400,2,0,0,0,0,1,0
338,57,27,5032000,94117,1,103600,3,0,0,0,0,1,0
339,29,3,11322000,93657,2,148000,1,29008000,0,0,0,0,0
340,39,13,6586000,92110,4,103600,2,0,0,0,0,0,0
341,59,34,6734000,93524,1,192400,1,0,0,0,0,1,1
342,31,6,4070000,92038,4,148000,2,13690000,0,0,0,1,0
343,43,19,8732000,91304,2,244200,1,0,0,0,0,0,1
344,35,5,1628000,93407,1,49580,3,7622000,0,0,0,0,0
345,54,24,4662000,92606,3,103600,3,10212000,0,0,0,1,1
346,51,27,888000,92192,4,37000,2,5772000,0,1,0,1,0
347,44,19,3700000,90745,3,199800,2,0,0,0,0,1,0
348,25,0,3182000,94305,2,118400,3,0,0,1,1,1,1
349,40,15,12802000,95060,4,488400,1,0,1,0,1,1,1
350,26,2,4440000,93407,2,222000,1,9768000,1,0,0,0,0
351,39,14,8362000,94301,1,74000,3,0,0,1,0,1,0
352,28,4,11470000,92182,4,392200,2,0,1,0,0,1,0
353,52,28,6734000,92692,4,74000,2,0,0,0,0,0,1
354,53,29,4070000,95818,4,81400,2,0,0,0,0,1,0
355,44,20,12802000,90277,2,103600,1,31006000,0,0,0,1,0
356,43,19,5254000,92101,3,22200,3,0,0,0,0,0,1
357,56,30,1776000,94704,2,29600,3,6512000,0,0,0,0,0
358,38,14,3108000,94610,1,148000,2,5994000,0,0,0,1,0
359,30,6,10434000,94539,2,320420,1,0,0,0,0,1,0
360,32,6,2368000,93106,1,140600,3,0,0,0,0,1,0
361,35,10,4070000,94539,4,96200,1,0,0,0,0,0,0
362,43,19,11322000,90254,2,555000,1,0,0,0,0,1,0
363,58,32,8362000,94590,2,103600,1,19980000,0,0,0,0,1
364,25,0,2220000,92691,2,125800,2,0,0,0,0,0,0
365,54,24,2146000,92028,3,74000,3,10952000,0,0,0,0,1
366,57,32,12876000,90089,1,503200,2,34484000,1,0,0,1,0
367,50,24,2590000,92717,1,22200,3,0,0,0,0,1,0
368,32,8,7252000,95054,2,148000,2,12950000,0,0,0,1,0
369,63,37,2220000,92054,2,74000,3,11766000,0,0,0,1,0
370,31,6,4292000,95051,2,185000,1,0,0,0,0,0,1
371,36,12,1850000,92101,4,74000,1,10878000,0,0,0,0,0
372,58,34,1406000,92029,4,51800,1,0,0,0,0,0,0
373,56,30,3256000,93105,4,51800,2,12876000,0,0,0,1,0
374,49,25,1480000,90291,4,74000,1,8214000,0,0,0,1,1
375,30,5,7252000,91941,2,229400,1,16280000,0,0,0,1,0
376,33,7,6660000,92346,3,118400,1,0,0,0,0,1,0
377,45,21,4514000,94304,3,51800,1,0,0,0,0,0,0
378,30,5,2960000,94402,4,148000,2,0,0,0,0,1,0
379,47,23,2812000,94618,2,155400,3,0,0,0,0,0,0
380,25,0,2072000,92093,2,125800,2,0,0,0,0,0,0
381,63,33,2516000,94305,1,111000,3,0,0,0,0,1,1
382,55,29,5402000,95616,2,170200,3,0,0,0,0,1,1
383,65,41,9842000,94904,4,148000,1,0,1,0,0,0,1
384,44,18,3922000,94608,1,14800,1,0,0,0,0,1,0
385,51,25,1554000,9307,4,44400,3,0,0,0,0,1,1
386,35,9,2960000,93943,3,66600,1,0,0,0,0,1,0
387,30,5,3034000,95051,4,125800,2,0,0,0,0,1,0
388,31,5,6068000,95482,4,133200,2,0,0,0,0,1,0
389,54,30,7400000,95814,4,251600,3,0,1,0,0,0,0
390,45,20,11470000,90024,1,518000,1,0,0,0,0,1,1
391,45,19,3330000,92521,1,14800,1,0,0,0,0,1,0
392,58,32,666000,94080,3,22200,3,0,0,0,0,0,1
393,54,29,3552000,91709,4,133200,3,0,0,0,0,1,0
394,53,28,1332000,90095,4,7400,3,8066000,0,1,1,1,1
395,33,9,5920000,91311,4,251600,1,0,0,0,0,1,1
396,60,35,4736000,94509,2,207200,1,0,0,0,0,0,0
397,50,24,2146000,93023,4,7400,1,0,0,0,0,0,0
398,26,2,3552000,90503,3,51800,2,0,0,0,0,1,0
399,54,30,1702000,94608,2,29600,1,0,0,0,0,0,0
400,28,3,6216000,90024,4,14800,1,0,0,0,0,1,1
401,36,10,13246000,94542,3,488400,1,0,1,0,0,1,0
402,29,2,2220000,95747,4,111000,2,8288000,0,0,0,0,1
403,54,28,6882000,91604,1,362600,1,9842000,0,0,1,1,1
404,55,30,2886000,92647,2,140600,2,0,0,0,0,0,0
405,61,36,4440000,92866,3,37000,2,13468000,0,0,0,0,0
406,36,11,9842000,90245,1,281200,1,21460000,0,1,1,1,1
407,45,19,9250000,92354,1,177600,1,0,0,0,0,0,0
408,64,40,4292000,93437,1,133200,3,0,0,0,0,1,0
409,60,36,6586000,91745,2,207200,1,0,0,0,0,1,0
410,49,22,6068000,90019,1,197580,2,9250000,0,0,0,1,0
411,47,23,8140000,94111,2,244200,1,0,0,0,0,1,1
412,60,36,3996000,92182,4,170200,3,0,0,1,0,0,0
413,45,20,6586000,93311,4,140600,3,0,0,0,0,1,0
414,32,7,3108000,92407,3,170200,1,0,0,0,0,1,0
415,52,28,3034000,94309,3,140600,2,0,0,0,0,0,1
416,35,8,2812000,93106,4,74000,2,9176000,0,0,0,1,0
417,40,15,6290000,94304,2,29600,1,0,0,0,0,1,0
418,53,29,6142000,90073,4,74000,2,0,0,0,0,1,0
419,27,0,2442000,90089,4,74000,3,0,0,0,0,0,0
420,58,33,3700000,94501,4,155400,1,0,0,0,0,0,1
421,47,22,4292000,93105,4,266400,3,0,0,0,0,1,1
422,28,3,8510000,92333,4,229400,2,0,1,0,0,0,0
423,46,20,10730000,91380,2,466200,1,0,0,1,1,1,0
424,43,19,11914000,95616,2,555000,1,0,0,0,0,0,0
425,56,30,2812000,92029,1,14800,1,0,0,0,0,0,0
426,28,3,2072000,90505,4,59200,1,0,0,0,0,1,0
